COURSE,PREREQ1,CO/PRE,AND/OR,PREREQ2,CO/PRE,AND/OR,PREREQ3,CO/PRE,AND/OR,PREREQ4,CO/PRE
EEE F245,EEE F242,CO/PRE,OR,ECE F242,CO/PRE,OR,INSTR F242,CO/PRE,, ,
EEE F246,EEE F243,CO/PRE,AND,EEE F244,CO/PRE,, ,,, ,
EEE F311,EEE F243,PRE,, ,,, ,,, ,
EEE F312, ,,, ,,, ,,, ,
EEE F313,EEE/ECE F244,PRE,, ,,, ,,, ,
EEE F341,EEE F244,PRE,, ,,, ,,, ,
EEE F342, ,,, ,,, ,,, ,
EEE F345,EEE/INSTR/ECE F211,PRE,, ,,, ,,, ,
EEE F346, ,,, ,,, ,,, ,
EEE F347, ,,, ,,, ,,, ,
EEE F348,EEE F215,PRE,AND,EEE F243,PRE,, ,,, ,
EEE F414, ,,, ,,, ,,, ,
EEE F416, ,,, ,,, ,,, ,
EEE F418,EEE/INSTR F243,PRE,, ,,, ,,, ,
EEE F419,EEE F214,PRE,OR,INSTR F214,PRE,OR,ECE F214,PRE,, ,
EEE F420,EEE F434,PRE,OR,ECE F434,PRE,, ,,, ,
EEE F422,EEE/ECE/INSTR F242,PRE,, ,,, ,,, ,
EEE F423,EEE F214,PRE,OR,INSTR F214,PRE,OR,ECE F214,PRE,, ,
EEE F424,EEE F242,PRE,OR,INSTR F242,PRE,OR,ECE F242,PRE,, ,
EEE F425, ,,, ,,, ,,, ,
EEE F426, ,,, ,,, ,,, ,
EEE F427, ,,, ,,, ,,, ,
EEE F430,EEE F311,PRE,, ,,, ,,, ,
EEE F431,EEE/INSTR F243,PRE,, ,,, ,,, ,
EEE F432, ,,, ,,, ,,, ,
EEE F433,EEE/INSTR F212,PRE,OR,PHY F212,PRE,, ,,, ,
EEE F434,EEE F243,PRE,, ,,, ,,, ,
EEE F435, ,,, ,,, ,,, ,
EEE F436,EEE/INSTR/ECE/PHY F212,PRE,, ,,, ,,, ,
EEE F472,EEE/INSTR F243,PRE,, ,,, ,,, ,
EEE F473, ,,, ,,, ,,, ,
EEE F474, ,,, ,,, ,,, ,
EEE F475, ,,, ,,, ,,, ,
EEE F476, ,,, ,,, ,,, ,
EEE F477, ,,, ,,, ,,, ,
EEE F478,EEE F312,CO/PRE,, ,,, ,,, ,
EEE G512,ECE F241,PRE,OR,EEE F241,PRE,OR,INSTR F241,PRE,, ,
EEE G514,EEE F214,PRE,OR,EEE F313,PRE,OR,MEL G621,PRE,OR,MEL G631,PRE
EEE G547,EEE G512,PRE,, ,,, ,,, ,
EEE G593, ,,, ,,, ,,, ,
EEE G594, ,,, ,,, ,,, ,
EEE G595, ,,, ,,, ,,, ,
EEE G614,EEE F311,PRE,, ,,, ,,, ,
EEE G641,EEE F311,PRE,OR,ECE F311,PRE,, ,,, ,
FIN F212, ,,, ,,, ,,, ,
FIN F213, ,,, ,,, ,,, ,
FIN F214, ,,, ,,, ,,, ,
FIN F242, ,,, ,,, ,,, ,
FIN F243, ,,, ,,, ,,, ,
FIN F244, ,,, ,,, ,,, ,
FIN F311, ,,, ,,, ,,, ,
FIN F312, ,,, ,,, ,,, ,
FIN F313, ,,, ,,, ,,, ,
FIN F314, ,,, ,,, ,,, ,
FIN F315,FIN F212,PRE,, ,,, ,,, ,
FIN F341, ,,, ,,, ,,, ,
FIN F342, ,,, ,,, ,,, ,
FIN F414,FIN F311,PRE,OR,ECON F354,PRE,, ,,, ,
GS F211, ,,, ,,, ,,, ,
GS F212, ,,, ,,, ,,, ,
GS F213, ,,, ,,, ,,, ,
GS F221, ,,, ,,, ,,, ,
GS F222, ,,, ,,, ,,, ,
GS F223, ,,, ,,, ,,, ,
GS F224, ,,, ,,, ,,, ,
GS F231, ,,, ,,, ,,, ,
GS F232, ,,, ,,, ,,, ,
GS F233, ,,, ,,, ,,, ,
GS F234, ,,, ,,, ,,, ,
GS F241, ,,, ,,, ,,, ,
GS F242, ,,, ,,, ,,, ,
GS F243, ,,, ,,, ,,, ,
GS F244, ,,, ,,, ,,, ,
GS F245, ,,, ,,, ,,, ,
GS F311, ,,, ,,, ,,, ,
GS F312, ,,, ,,, ,,, ,
GS F321, ,,, ,,, ,,, ,
GS F322, ,,, ,,, ,,, ,
GS F325, ,,, ,,, ,,, ,
GS F326, ,,, ,,, ,,, ,
GS F327, ,,, ,,, ,,, ,
GS F331, ,,, ,,, ,,, ,
GS F332, ,,, ,,, ,,, ,
GS F333, ,,, ,,, ,,, ,
GS F334, ,,, ,,, ,,, ,
GS F341, ,,, ,,, ,,, ,
GS F342, ,,, ,,, ,,, ,
GS F343, ,,, ,,, ,,, ,
HIST F112, ,,, ,,, ,,, ,
HIST F211, ,,, ,,, ,,, ,
HSS F224, ,,, ,,, ,,, ,
HSS F226, ,,, ,,, ,,, ,
HSS F227, ,,, ,,, ,,, ,
HSS F237, ,,, ,,, ,,, ,
HSS F238, ,,, ,,, ,,, ,
HSS F312, ,,, ,,, ,,, ,
HSS F315, ,,, ,,, ,,, ,
HSS F324, ,,, ,,, ,,, ,
HSS F325, ,,, ,,, ,,, ,
HSS F326, ,,, ,,, ,,, ,
HSS F327, ,,, ,,, ,,, ,
HSS F341, ,,, ,,, ,,, ,
HSS F343, ,,, ,,, ,,, ,
HSS F351, ,,, ,,, ,,, ,
HSS F352, ,,, ,,, ,,, ,
HSS F353, ,,, ,,, ,,, ,
HSS F354, ,,, ,,, ,,, ,
HSS F355, ,,, ,,, ,,, ,
HSS F356, ,,, ,,, ,,, ,
HSS F399, ,,, ,,, ,,, ,
HUM F411, ,,, ,,, ,,, ,
HUM F412, ,,, ,,, ,,, ,
INSTR F211,EEE F111,PRE,, ,,, ,,, ,
INSTR F212, ,,, ,,, ,,, ,
INSTR F214,EEE F111,PRE,, ,,, ,,, ,
INSTR F215, ,,, ,,, ,,, ,
INSTR F216,EEE F214,PRE,OR,INSTR F214,PRE,OR,ECE F214,PRE,, ,
INSTR F241, ,,, ,,, ,,, ,
INSTR F242, ,,, ,,, ,,, ,
INSTR F243, ,,, ,,, ,,, ,
INSTR F244, ,,, ,,, ,,, ,
INSTR F311, ,,, ,,, ,,, ,
INSTR F312, ,,, ,,, ,,, ,
INSTR F313,INSTR F244,PRE,, ,,, ,,, ,
INSTR F341,INSTR F244,PRE,, ,,, ,,, ,
INSTR F342, ,,, ,,, ,,, ,
INSTR F343, ,,, ,,, ,,, ,
INSTR F411, ,,, ,,, ,,, ,
INSTR F412,EEE F111,PRE,, ,,, ,,, ,
INSTR F413,INSTR F343,PRE,, ,,, ,,, ,
INSTR F414,INSTR F243,PRE,, ,,, ,,, ,
INSTR F415,INSTR F242,PRE,, ,,, ,,, ,
INSTR F419, ,,, ,,, ,,, ,
INSTR F420, ,,, ,,, ,,, ,
INSTR F422, ,,, ,,, ,,, ,
